Certification Course,Gender,Department,Height(CM),Weight(KG),10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,career_willing,social medai & video,Travelling Time,Stress Level,Financial Status,part-time job
No,Female,CS,174,73,94,72,79,Gaming,1-2 hrs,Morning,3-5 LPA,No,75%,3-5 hrs,1-2 hrs,High,Good,No
Yes,Male,ENTC,151,80,93,83,83,Music,2-4 hrs,Evening,<3 LPA,Yes,75%,>5 hrs,30-60 min,High,Middle,Yes
Yes,Male,Mechanical,185,61,68,89,68,Reading,2-4 hrs,Evening,3-5 LPA,Yes,25%,1-3 hrs,<30 min,High,Middle,Yes
No,Female,CS,167,54,89,50,66,Music,<1 hr,Evening,>8 LPA,Yes,75%,<1 hr,<30 min,Medium,Good,Yes
Yes,Female,ENTC,150,89,72,76,72,Gaming,2-4 hrs,Night,3-5 LPA,Yes,100%,<1 hr,30-60 min,Medium,Good,No
Yes,Male,Mechanical,169,89,65,71,69,Reading,>4 hrs,Evening,3-5 LPA,Yes,50%,<1 hr,30-60 min,Medium,Middle,No
Yes,Male,Civil,168,73,63,63,65,Gaming,2-4 hrs,Night,3-5 LPA,Yes,25%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Male,Mechanical,179,62,67,94,76,Reading,1-2 hrs,Morning,>8 LPA,Yes,75%,1-3 hrs,<30 min,High,Middle,Yes
Yes,Male,Civil,185,75,55,85,67,Travelling,2-4 hrs,Night,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Middle,No
Yes,Male,IT,177,76,75,79,76,Reading,2-4 hrs,Morning,5-8 LPA,No,75%,<1 hr,>2 hrs,Medium,Good,No
No,Female,CS,174,65,80,60,77,Reading,>4 hrs,Evening,3-5 LPA,Yes,50%,3-5 hrs,<30 min,Medium,Middle,No
No,Female,IT,169,47,94,64,60,Gaming,1-2 hrs,Night,5-8 LPA,Yes,75%,<1 hr,30-60 min,Low,Poor,No
Yes,Female,IT,189,69,64,65,66,Reading,2-4 hrs,Evening,3-5 LPA,Yes,75%,3-5 hrs,30-60 min,Medium,Poor,No
No,Male,Mechanical,169,75,81,65,60,Music,2-4 hrs,Morning,>8 LPA,Yes,75%,>5 hrs,<30 min,Medium,Middle,Yes
No,Male,CS,179,73,92,83,60,Sports,1-2 hrs,Night,3-5 LPA,Yes,100%,<1 hr,<30 min,Low,Good,No
Yes,Male,CS,175,78,69,72,71,Travelling,<1 hr,Morning,3-5 LPA,No,25%,<1 hr,30-60 min,Low,Poor,Yes
No,Female,CS,169,55,74,76,77,Music,2-4 hrs,Evening,<3 LPA,Yes,50%,1-3 hrs,<30 min,Low,Middle,Yes
No,Female,IT,185,57,60,68,69,Music,2-4 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Good,No
Yes,Female,Civil,177,70,81,70,68,Gaming,1-2 hrs,Night,>8 LPA,Yes,50%,3-5 hrs,<30 min,Low,Poor,Yes
Yes,Male,ENTC,174,54,79,61,60,Reading,<1 hr,Morning,3-5 LPA,Yes,50%,1-3 hrs,30-60 min,Medium,Middle,Yes
Yes,Female,CS,173,45,79,89,65,Reading,1-2 hrs,Evening,>8 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Middle,No
Yes,Female,IT,189,83,87,64,76,Sports,1-2 hrs,Morning,>8 LPA,Yes,25%,1-3 hrs,30-60 min,Low,Middle,No
No,Female,CS,171,45,69,61,70,Sports,<1 hr,Evening,<3 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Good,No
Yes,Male,ENTC,179,73,73,68,60,Travelling,2-4 hrs,Morning,<3 LPA,No,50%,3-5 hrs,1-2 hrs,High,Middle,Yes
Yes,Male,Mechanical,171,87,86,82,85,Travelling,1-2 hrs,Morning,5-8 LPA,Yes,75%,1-3 hrs,>2 hrs,High,Middle,Yes
No,Male,Mechanical,185,73,79,73,76,Travelling,1-2 hrs,Evening,<3 LPA,Yes,75%,<1 hr,<30 min,Medium,Poor,No
Yes,Female,CS,169,70,55,94,76,Music,1-2 hrs,Evening,3-5 LPA,No,75%,1-3 hrs,<30 min,High,Poor,Yes
No,Male,CS,165,78,64,52,76,Gaming,<1 hr,Night,3-5 LPA,Yes,50%,3-5 hrs,<30 min,Medium,Middle,No
Yes,Male,CS,171,88,94,79,62,Sports,<1 hr,Morning,5-8 LPA,Yes,50%,>5 hrs,1-2 hrs,Low,Middle,No
Yes,Male,ENTC,185,61,82,65,82,Music,>4 hrs,Morning,3-5 LPA,Yes,50%,>5 hrs,<30 min,Medium,Poor,No
Yes,Male,ENTC,164,63,86,53,76,Travelling,2-4 hrs,Morning,3-5 LPA,Yes,100%,>5 hrs,1-2 hrs,Medium,Middle,No
Yes,Male,Mechanical,151,84,55,70,65,Sports,>4 hrs,Morning,<3 LPA,Yes,50%,3-5 hrs,1-2 hrs,Low,Good,No
No,Female,IT,180,59,65,64,77,Music,<1 hr,Night,3-5 LPA,Yes,50%,3-5 hrs,>2 hrs,Medium,Middle,Yes
Yes,Male,ENTC,180,56,91,69,82,Travelling,>4 hrs,Night,5-8 LPA,Yes,75%,1-3 hrs,<30 min,Low,Good,No
Yes,Male,IT,189,58,88,54,76,Sports,2-4 hrs,Morning,3-5 LPA,Yes,100%,<1 hr,<30 min,Medium,Middle,No
No,Male,CS,175,74,71,70,73,Music,1-2 hrs,Evening,<3 LPA,No,50%,3-5 hrs,30-60 min,High,Poor,No
Yes,Male,IT,186,55,61,94,89,Gaming,1-2 hrs,Evening,<3 LPA,Yes,75%,>5 hrs,>2 hrs,High,Middle,Yes
Yes,Female,Mechanical,154,64,55,50,75,Reading,2-4 hrs,Morning,>8 LPA,Yes,100%,>5 hrs,1-2 hrs,Medium,Good,Yes
No,Female,Mechanical,168,57,77,94,75,Reading,>4 hrs,Evening,<3 LPA,Yes,50%,<1 hr,30-60 min,Low,Good,Yes
No,Male,CS,163,64,57,61,75,Gaming,<1 hr,Morning,5-8 LPA,Yes,100%,3-5 hrs,<30 min,High,Poor,Yes
Yes,Male,IT,187,79,73,71,78,Travelling,<1 hr,Night,>8 LPA,Yes,75%,1-3 hrs,<30 min,Low,Poor,No
No,Male,CS,185,84,69,55,71,Gaming,2-4 hrs,Evening,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Good,No
Yes,Female,IT,182,63,66,85,77,Gaming,1-2 hrs,Morning,5-8 LPA,Yes,75%,3-5 hrs,<30 min,High,Middle,Yes
Yes,Female,Mechanical,182,76,79,81,84,Gaming,2-4 hrs,Night,5-8 LPA,Yes,25%,>5 hrs,1-2 hrs,Medium,Middle,Yes
No,Male,CS,163,87,80,62,73,Music,<1 hr,Night,3-5 LPA,No,75%,<1 hr,>2 hrs,Medium,Middle,No
No,Female,IT,189,50,63,50,74,Sports,1-2 hrs,Night,>8 LPA,Yes,75%,1-3 hrs,<30 min,High,Middle,Yes
No,Male,CS,157,54,67,74,79,Travelling,1-2 hrs,Night,5-8 LPA,Yes,50%,<1 hr,1-2 hrs,Medium,Middle,No
Yes,Male,IT,150,53,77,72,60,Sports,1-2 hrs,Night,<3 LPA,No,100%,1-3 hrs,30-60 min,Low,Good,Yes
No,Female,IT,178,89,92,80,72,Gaming,1-2 hrs,Night,<3 LPA,Yes,50%,3-5 hrs,<30 min,Medium,Good,Yes
Yes,Male,Mechanical,175,66,55,50,66,Gaming,1-2 hrs,Evening,<3 LPA,Yes,75%,3-5 hrs,30-60 min,High,Middle,No
Yes,Male,CS,154,89,78,84,89,Sports,>4 hrs,Evening,5-8 LPA,Yes,50%,1-3 hrs,1-2 hrs,Low,Middle,Yes
Yes,Female,Mechanical,164,89,75,71,89,Gaming,>4 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Middle,Yes
